name,base_job,論理,抽象,集中,実行,学習,対人,倫理,意思決定,当事者,成果
DA_dummy_1,DA,0.934607806840703000000000000000 ,0.908510587503279000000000000000 ,0.752665614557815000000000000000 ,0.739725287594864000000000000000 ,0.771477568607013000000000000000 ,0.708224718528306000000000000000 ,0.748574709103073000000000000000 ,0.742138094502178000000000000000 ,0.629679880471142000000000000000 ,0.662439499542218000000000000000 
DA_dummy_2,DA,0.912852467320617000000000000000 ,0.879122996779195000000000000000 ,0.829753823907669000000000000000 ,0.680694425544971000000000000000 ,0.784286022793422000000000000000 ,0.634861467579784000000000000000 ,0.672725414972050000000000000000 ,0.762463510179744000000000000000 ,0.697268244781710000000000000000 ,0.732011960499457000000000000000 
DA_dummy_3,DA,0.880915232042324000000000000000 ,0.907114757535495000000000000000 ,0.672761578250435000000000000000 ,0.736178378725012000000000000000 ,0.776386969071148000000000000000 ,0.593213989298125000000000000000 ,0.782416275732241000000000000000 ,0.794468812098701000000000000000 ,0.564276216887718000000000000000 ,0.770855324785405000000000000000 
DA_dummy_4,DA,0.920295837442240000000000000000 ,0.908653942564234000000000000000 ,0.766148841015150000000000000000 ,0.792988748770723000000000000000 ,0.814073700450001000000000000000 ,0.528501912203040000000000000000 ,0.715386341078403000000000000000 ,0.797856430228724000000000000000 ,0.658162537123824000000000000000 ,0.759206373874236000000000000000 
DA_dummy_5,DA,0.922197295773295000000000000000 ,0.920514860761658000000000000000 ,0.772144907477898000000000000000 ,0.672143689684730000000000000000 ,0.725946236023572000000000000000 ,0.679469349294322000000000000000 ,0.791109350573170000000000000000 ,0.649447372682441000000000000000 ,0.647900753879989000000000000000 ,0.623818252519946000000000000000 
DA_dummy_6,DA,0.917227724664511000000000000000 ,0.914472496530811000000000000000 ,0.733293210042070000000000000000 ,0.772996353607955000000000000000 ,0.730906372552401000000000000000 ,0.530066990744195000000000000000 ,0.737668596609336000000000000000 ,0.754229191163115000000000000000 ,0.576614042213237000000000000000 ,0.640247021528926000000000000000 
DA_dummy_7,DA,0.914707131559174000000000000000 ,0.873761439785108000000000000000 ,0.807740481312259000000000000000 ,0.754495550035997000000000000000 ,0.737731507915591000000000000000 ,0.579266775889411000000000000000 ,0.736905217854604000000000000000 ,0.741817106991257000000000000000 ,0.682146678286903000000000000000 ,0.641122091183485000000000000000 
DA_dummy_8,DA,0.890212262335209000000000000000 ,0.932017615326415000000000000000 ,0.824957391070902000000000000000 ,0.695105381781877000000000000000 ,0.767663709777374000000000000000 ,0.603949124193945000000000000000 ,0.740730219455404000000000000000 ,0.827034887937385000000000000000 ,0.704510696907584000000000000000 ,0.657639946333255000000000000000 
DA_dummy_9,DA,0.910428746814769000000000000000 ,0.880396238729590000000000000000 ,0.795057960924367000000000000000 ,0.692424096262347000000000000000 ,0.776323411986204000000000000000 ,0.603145735243444000000000000000 ,0.762155946782782000000000000000 ,0.743292918964011000000000000000 ,0.619199282827422000000000000000 ,0.646188652018942000000000000000 
DA_dummy_10,DA,0.927725319354274000000000000000 ,0.905027592195839000000000000000 ,0.779220126585329000000000000000 ,0.744289796460032000000000000000 ,0.732091671526795000000000000000 ,0.627500394448039000000000000000 ,0.724815574921323000000000000000 ,0.804839645972254000000000000000 ,0.673825571920946000000000000000 ,0.648471211117181000000000000000 
